Tenant Name,Tenant ID,Application ID,Application Name,Pod Name,Pod Namespace,Pod Status,Container ID,Image Name,Image ID,Container Start Date,Container Exposed Port ,Compliance_Status
awsimages,173134c7-6465-11e8-9690-fa163eb08fb0,e7d96667-58da-457f-978a-99760901751f,appmgm,pal-event-generator-1-deploy,awsimages,Failed,docker://f9728c0511316946435131096216197dcba5e7912854022c7af2c7acdfddaf3b,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
bcsp-esp-dashboard,e2e6acae-86cc-11e8-8862-fa163e463fb4,35493304-e3b7-48fd-b11d-8f1a433bb6e3,Collaboration Platform and Voice Services ESP Integration,bcsp-esp-dashboard-mysql-dev-10-5slhp,bcsp-esp-dashboard,Running,docker://0be8b9198ccdb92f0658b9dae13c2817eb609560b4a111454237c99d712df377,registry.access.redhat.com/rhscl/mysql-57-rhel7:latest,docker-pullable://registry.access.redhat.com/rhscl/mysql-57-rhel7@sha256:7081a9ac5cdde4f79450b15432bcd40093c32188690f82d76183f08a193a9802,2019-02-14T00:36:19Z,3306/ ,Non-compliant
botliteframework-stg-ext-rtp,2427abcc-b7fc-11e8-9d5d-fa163e463fb4,254118c9-d2d5-44a1-871b-e23a67d81e11,Bot-Lite,botliteframework-123-deploy,botliteframework-stg-ext-rtp,Failed,docker://984b8b73e1d72c2c99551ee386b9135d2c09aff592bfb676a90eea518a5aa43e,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
botliteframework-stg-ext-rtp,2427abcc-b7fc-11e8-9d5d-fa163e463fb4,254118c9-d2d5-44a1-871b-e23a67d81e11,Bot-Lite,botliteframework-124-deploy,botliteframework-stg-ext-rtp,Failed,docker://9204e2572cdcf44b1e1d237fdce34f09ff58ffe8962f7f2c10fc7573a2694b55,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
botliteframework-stg-ext-rtp,2427abcc-b7fc-11e8-9d5d-fa163e463fb4,254118c9-d2d5-44a1-871b-e23a67d81e11,Bot-Lite,botliteframework-125-deploy,botliteframework-stg-ext-rtp,Failed,docker://82d8cd0231d6dd047ae23c23a16b9244c66cca1d16578a56c5e32b9fcea69f58,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cae-hackathon-sandbox,07f407e4-a273-11e8-8176-fa163e463fb4,07edab90-c5ff-434b-8b40-abb73d91d574,LAE-Infra-App,nginx-demo-6bc49bc7f5-p5g75,cae-hackathon-sandbox,Running,docker://f5dab2a21813fd1a5756302e38a2811d54cee5ae2f25c93c656ed0ddceb05e21,docker.io/nginx:latest,docker-pullable://docker.io/nginx@sha256:dd2d0ac3fff2f007d99e033b64854be0941e19a2ad51f174d9240dda20d9f534,None,80/ ,Non-compliant
cae-hackathon-sandbox,07f407e4-a273-11e8-8176-fa163e463fb4,07edab90-c5ff-434b-8b40-abb73d91d574,LAE-Infra-App,nginx-demo-6bc49bc7f5-rpj2k,cae-hackathon-sandbox,Running,docker://720c897a7387b04a55f79aee9ca1d567f7ef3151c22671378b5e47cb4642c23a,docker.io/nginx:latest,docker-pullable://docker.io/nginx@sha256:dd2d0ac3fff2f007d99e033b64854be0941e19a2ad51f174d9240dda20d9f534,None,80/ ,Non-compliant
cae-hackathon-sandbox,07f407e4-a273-11e8-8176-fa163e463fb4,07edab90-c5ff-434b-8b40-abb73d91d574,LAE-Infra-App,nginx-demo-6bc49bc7f5-zd89j,cae-hackathon-sandbox,Running,docker://33cbc27c9691582476ffc3cd8d742b4b409221051f3c5739712cc3c9f5373804,docker.io/nginx:latest,docker-pullable://docker.io/nginx@sha256:dd2d0ac3fff2f007d99e033b64854be0941e19a2ad51f174d9240dda20d9f534,None,80/ ,Non-compliant
cae-hackathon-sandbox,07f407e4-a273-11e8-8176-fa163e463fb4,07edab90-c5ff-434b-8b40-abb73d91d574,LAE-Infra-App,nginx-ws-6bc49bc7f5-bbz27,cae-hackathon-sandbox,Running,docker://2f624800a054501e3e46a453a677846ba622c8240c283f1d309977f4c937a065,docker.io/nginx:latest,docker-pullable://docker.io/nginx@sha256:dd2d0ac3fff2f007d99e033b64854be0941e19a2ad51f174d9240dda20d9f534,None,80/ ,Non-compliant
cae-hackathon-sandbox,07f407e4-a273-11e8-8176-fa163e463fb4,07edab90-c5ff-434b-8b40-abb73d91d574,LAE-Infra-App,nginx-ws-6bc49bc7f5-q4ds5,cae-hackathon-sandbox,Running,docker://f2e54cba19d66404a69206b4cef1672ab55386156618aa2ae249de11cdfde338,docker.io/nginx:latest,docker-pullable://docker.io/nginx@sha256:dd2d0ac3fff2f007d99e033b64854be0941e19a2ad51f174d9240dda20d9f534,None,80/ ,Non-compliant
cae-hackathon-sandbox,07f407e4-a273-11e8-8176-fa163e463fb4,07edab90-c5ff-434b-8b40-abb73d91d574,LAE-Infra-App,nginx-ws-6bc49bc7f5-vdh4c,cae-hackathon-sandbox,Running,docker://79d129030e6c5958276da9603a7537093889a12f2de25e62c4a37933b5a80c25,docker.io/nginx:latest,docker-pullable://docker.io/nginx@sha256:24b4d8babd0f23afeb6ba110fff9cd771e8290ed504fa0dc9e864b3f91f1cfa9,None,80/ ,Non-compliant
cae-test-infosec,a7b4cade-a023-11e8-8176-fa163e463fb4,07edab90-c5ff-434b-8b40-abb73d91d574,LAE-Infra-App,httpd-24-rhel7-1-sdjbj,cae-test-infosec,Running,docker://cd98cff96ac9c838cd21667a8ff2e20600aba6a3ec1aad309fb3ac1149164b38,registry.access.redhat.com/rhscl/httpd-24-rhel7@sha256:c1183950643507ebbf8f22d6a897e6fba563988ff80c72d3f28055c3fa847111,docker-pullable://registry.access.redhat.com/rhscl/httpd-24-rhel7@sha256:c1183950643507ebbf8f22d6a897e6fba563988ff80c72d3f28055c3fa847111,2019-02-13T07:27:45Z,8443/8080/ ,Non-compliant
ccwr-dev,11bdf4cb-9441-11e8-b471-fa163e463fb4,2D46B84AFCB123DCE053C56725ADD320,Cisco Contract Renewal Cloud,cmlinesdataload-85-deploy,ccwr-dev,Failed,docker://d38b6e6312db01665c99bfe05ef3f75b5b3eca474d22c36997bc02f26947c143,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
ccwr-dev,11bdf4cb-9441-11e8-b471-fa163e463fb4,2D46B84AFCB123DCE053C56725ADD320,Cisco Contract Renewal Cloud,disticcodataloader-49-deploy,ccwr-dev,Failed,docker://c6221d6d77f5e548d70aaed6bbbedd64ad904a32536747218191b3767b307160,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
ccwr-dev,11bdf4cb-9441-11e8-b471-fa163e463fb4,2D46B84AFCB123DCE053C56725ADD320,Cisco Contract Renewal Cloud,purgeconsumer-38-deploy,ccwr-dev,Failed,docker://f2eade84b44f2d5d1fd1868c73ac43303f597feee6cb647207b463d56900e112,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
ccwr-lt,03fff8ff-a0d0-11e8-8176-fa163e463fb4,67df2ea7-5184-45cd-aa31-8a7c10eac2e7,Cisco Contract Renewal Cloud,bccrcb2b-4-deploy,ccwr-lt,Failed,docker://886f84a8e77ede3feae6c4e01c541221c6e23c4f9a8075593bf56adb11145258,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
ccwr-lt,03fff8ff-a0d0-11e8-8176-fa163e463fb4,67df2ea7-5184-45cd-aa31-8a7c10eac2e7,Cisco Contract Renewal Cloud,bccrccafservice-16-deploy,ccwr-lt,Failed,docker://560dacf9049374615011bcc5f3bc1518a77625438ac6136153ff10894902ed34,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
