Tenant Id,Tenant Name,Create Role,Create User,Create Domain,List Domain,Change Domain,Compliance Status
0078be0257474092b960ba92d937098f,IMCDEV-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
03402c0a727e45bc839fe7243f1d54ff,Test,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0420524949924489b9b2f5fc2d1ffb49,gslb-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
05ce976d16494da584c7fc402736960e,CX Labs SOC API,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
07373bf58f6d4b16ab5a2ef8d6bc6bb9,SSO-POC-FIP-NET,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
076be8399a6c4f11854e867893019101,isv-multicloud,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
07ab2981925a40f7b9ccb9eaddbb1e98,SSO-HONJO,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
08a58557bf0e4fcf94d4ccd57e2ea0c5,mcmp-dev-1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0960d6c9501c4f70b3c2c217d002b9f6,Load Testing - Internal,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0ab21f1ffc4f4334bc727800d6125bbd,drsdev-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0b05b56429914a7a9eef391573c54bb5,CIPS BizMgmt,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0b1cb95bb32b41b2b8bbadcc483f5824,mgd-val-poc,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0b62988751d14f3d9aa1ecd008b0f7db,EB-DEV-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0ce01b6c37b84dadbfe9435573ce3444,eStore Platform DEV RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0d6b83020fbc4f86aa3d188cc4d0bde4,mcmp-reporting-nprd,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0f87af5ba5e8498a97d58ecc9818cbb6,xRM and Customer Care 1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
0fa29ed2a2bb46bd895e3ab5ff560e63,CXSP Stage and UAT 1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1012c78279274329bf4c028ad85fdad6,tmx-common-prod,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1092b829209543ed9163a5b6bf5fe70e,SSO-Private-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
10c6464ca380486c9c2fd77cbbcf7796,modelapp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1213ef3cc4b74a3d8b558e7a50baf51f,fax-order,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
14a951b62bf2414cbf787ff4238ca831,Backup-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
15b4642e604149eda9dd752285b468cd,entitlement base foundation_eb-foundation-sm-02,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
178dd10c1de74228a6c72bcab4c2d2d4,clouddb-automation,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
190c8c3e406c480e8c38444537b2b18c,SEE-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1afc9d1b9afb46faaf554696661c4aba,whisk-validation,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1b04aae3a81e4cdaafe4cffe01a6828b,trfmdv-npd-rtp-fip,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1be9223c4ad4485a9255fddd2487e4a4,internal-direct-net-devops,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1db2f78888c54c28b9417559c35e175f,impdev-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1e7c7b5a1ef942fbafadebd00cd4cf95,tmx-api-dev,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
1ea2fc1e25ac4a82bd9fc239d209e525,BlackBox Testing,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
20a93ec18b5a4a8f89436aae20403093,1be9223c4ad4485a9255fddd2487e4a4-4f91f056-5b95-4763-a682-991da50,,,,,,
216bd4c0b7584490a3a9847ff6d3408e,Social-Collab-Engineering,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
232b3659b8334235a31f0f2d4bc31bd3,lglstg-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
2449d05482b54fd4917c3f51377b2168,CS-OSP-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
24c96710e3cc4d92b5fdb48b291cf54c,MCMPPD-PRD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
25faa5f1cc394699904ea392878d00d5,EFM_1-6,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
25fda07478344f3c8ec5dc55b5bbeb14,GDPPRD-PRD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
293f6579cfaf4cfb976702b121b5f744,FAST-internal,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
2df2440c081e4297a469870259701a96,ACE Plus RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
30ba4a3aba274e0ab31b323380dfb3cf,CAE-NONPROD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
322adcb28232485d8f910953a0adca87,kdn-rtp-project1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
32780f523b7e4484824930fb4e147583,KAAS-ADMIN-IDEV-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
335d1f009ffb42e9af4ac5ba1e7b49c8,cnaap-rtp-001,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
3425712059fb45e3abc933cdbe208654,ngcs-whisk-cloud-rtp-1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
35c09c5ca1514df78e1d27f37277923a,eStore Platform DEV,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
361159092db640adbe95a057db26a54e,MCMP-STG,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
36da1eaf6c204750ba241c6db1bafea7,mgprod-prd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
379c2325a80a43098a223c1614a4f74b,sto-ccc-hardening-dev,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
37a487cfb4ed4d179beda1b14812bdb7,Cohesity,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
